PS C:\Users\abigo\Downloads> python trofeo_sniffer.py --live --filter 1

 ╔══════════════════════════════════════════════════╗
 ║  Trofeo LCD USB Protocol Analyzer               ║
 ║  github.com/Abigor-DIY/Open-Trofeo-LCD          ║
 ╚══════════════════════════════════════════════════╝

 USBPcapCMD: C:\Program Files\USBPcap\USBPcapCMD.exe
 Device:     \\.\USBPcap1
 Temp file:  C:\Users\abigo\AppData\Local\Temp\trofeo_live_19808.pcap
 Press Ctrl+C to stop capture and show summary.

 ✓ USBPcapCMD running (PID 24136)
 ✓ Capture started — interact with TRCC now!
     Change themes, load images, wait a few seconds between actions.
     Press Ctrl+C when done.

   Capturing... 289.1 MB

 Stopping capture...
 Analyzing capture (289.1 MB)...

      8.307s   FRAME  #135  1920×462 328,432B/326,170B 81ch buf=0(!=1) b9=0x92 37ms (16.1 FPS)
      8.370s   FRAME  #136  1920×462 181,552B/327,187B 45ch buf=0(!=2) b9=0x94 37ms (15.9 FPS)
      8.431s   FRAME  #137  1920×462 336,592B/327,101B 83ch buf=0 b9=0x94 37ms (16.4 FPS)
      8.494s   FRAME  #138  1920×462 232,560B/324,798B 57ch buf=0(!=1) b9=0x8f 37ms (15.7 FPS)
      8.556s   FRAME  #139  1920×462 336,592B/326,367B 83ch buf=0(!=2) b9=0x92 37ms (16.4 FPS)
      8.619s   FRAME  #140  1920×462 336,592B/327,270B 83ch buf=0 b9=0x94 38ms (15.9 FPS)
      8.681s   FRAME  #141  1920×462 320,272B/325,438B 79ch buf=0(!=1) b9=0x91 38ms (16.1 FPS)
      8.948s    INIT  OUT INIT packet=2048B header: 02 ff 00 00 00 00 00 00 01 00 00 00 00 00 00 00
      8.948s    INIT  IN  ACK status=OK display=1920×599 fw=1cac2c86 quality=50
         Non-zero: [0]=0x03 [1]=0xff [8]=0x01 [16]=0x1c [17]=0xac [18]=0x2c [19]=0x86 [20]=0x02 [22]=0x04 [24]=0x80 [25]=0x07 [28]=0x57 [29]=0x02 [32]=0x32 [40]=0x02 [44]=0x89
     30.340s    INIT  OUT INIT packet=2048B header: 02 ff 00 00 00 00 00 00 01 00 00 00 00 00 00 00
     33.265s   FRAME  #142  1920×462 328,432B/318,441B 81ch buf=0(!=2) b9=0x83 27ms (0.0 FPS)
     33.326s   FRAME  #143  1920×462 328,432B/318,640B 81ch buf=0 b9=0x83 28ms (16.4 FPS)
     33.388s   FRAME  #144  1920×462 328,432B/318,294B 81ch buf=0(!=1) b9=0x82 28ms (16.3 FPS)
     33.434s   FRAME  #145  1920×462 328,432B/318,032B 81ch buf=0(!=2) b9=0x82 32ms (21.6 FPS)
     33.496s   FRAME  #146  1920×462 330,480B/319,896B 81ch buf=0 b9=0x85 30ms (16.1 FPS)
     33.542s   FRAME  #147  1920×462 330,480B/320,449B 81ch buf=0(!=1) b9=0x87 34ms (21.9 FPS)
     33.604s   FRAME  #148  1920×462 330,480B/320,747B 81ch buf=0(!=2) b9=0x87 34ms (16.1 FPS)
     33.651s   FRAME  #149  1920×462 330,480B/320,838B 81ch buf=0 b9=0x87 34ms (21.5 FPS)
     33.697s   FRAME  #150  1920×462 330,480B/321,281B 81ch buf=0(!=1) b9=0x88 28ms (21.7 FPS)
     33.760s   FRAME  #151  1920×462 332,512B/321,782B 82ch buf=0(!=2) b9=0x89 35ms (15.9 FPS)
     33.821s   FRAME  #152  1920×462 332,512B/322,081B 82ch buf=0 b9=0x8a 35ms (16.3 FPS)
     33.867s   FRAME  #153  1920×462 332,512B/322,921B 82ch buf=0(!=1) b9=0x8c 30ms (21.7 FPS)
     33.929s   FRAME  #154  1920×462 332,512B/322,502B 82ch buf=0(!=2) b9=0x8b 37ms (16.2 FPS)
     33.967s   FRAME  #155  1920×462 332,512B/323,349B 82ch buf=0 b9=0x8c 28ms (26.4 FPS)
     34.006s   FRAME  #156  1920×462 334,560B/323,440B 82ch buf=0(!=1) b9=0x8d 33ms (25.2 FPS)
     34.054s   FRAME  #157  1920×462 334,560B/324,453B 82ch buf=0(!=2) b9=0x8f 37ms (20.9 FPS)
     34.115s   FRAME  #158  1920×462 334,560B/323,994B 82ch buf=0 b9=0x8e 37ms (16.4 FPS)
     34.179s   FRAME  #159  1920×462 336,592B/325,864B 83ch buf=0(!=1) b9=0x91 37ms (15.6 FPS)
     34.240s   FRAME  #160  1920×462 336,592B/325,757B 83ch buf=0(!=2) b9=0x91 36ms (16.4 FPS)
     34.304s   FRAME  #161  1920×462 336,592B/327,018B 83ch buf=0 b9=0x94 37ms (15.6 FPS)
     34.365s   FRAME  #162  1920×462 336,592B/326,909B 83ch buf=0(!=1) b9=0x94 37ms (16.4 FPS)
     34.428s   FRAME  #163  1920×462 338,640B/327,541B 83ch buf=0(!=2) b9=0x95 37ms (15.8 FPS)
     34.490s   FRAME  #164  1920×462 338,640B/329,012B 83ch buf=0 b9=0x98 37ms (16.2 FPS)
     34.563s   FRAME  #165  1920×462 338,640B/328,866B 83ch buf=0(!=1) b9=0x98 35ms (13.6 FPS)
     34.625s   FRAME  #166  1920×462 338,640B/329,205B 83ch buf=0(!=2) b9=0x98 35ms (16.2 FPS)
     34.678s   FRAME  #167  1920×462 340,672B/329,718B 84ch buf=0 b9=0x99 38ms (18.9 FPS)
     34.740s   FRAME  #168  1920×462 340,672B/330,027B 84ch buf=0(!=1) b9=0x9a 38ms (16.1 FPS)
     34.802s   FRAME  #169  1920×462 340,672B/330,519B 84ch buf=0(!=2) b9=0x9b 38ms (16.1 FPS)
     34.866s   FRAME  #170  1920×462 340,672B/330,625B 84ch buf=0 b9=0x9b 37ms (15.7 FPS)
     34.928s   FRAME  #171  1920×462 336,592B/331,045B 83ch buf=0(!=1) b9=0x9c 38ms (16.1 FPS)
     34.990s   FRAME  #172  1920×462 342,720B/331,690B 84ch buf=0(!=2) b9=0x9d 38ms (16.1 FPS)
     35.052s   FRAME  #173  1920×462 306,000B/332,076B 75ch buf=0 b9=0x9e 38ms (16.1 FPS)
     35.114s   FRAME  #174  1920×462 342,720B/331,967B 84ch buf=0(!=1) b9=0x9e 37ms (16.1 FPS)
     35.178s   FRAME  #175  1920×462 310,080B/333,091B 76ch buf=0(!=2) b9=0xa0 38ms (15.6 FPS)
     35.240s   FRAME  #176  1920×462 342,720B/333,125B 84ch buf=0 b9=0xa0 38ms (16.2 FPS)
     35.302s   FRAME  #177  1920×462 289,680B/333,226B 71ch buf=0(!=1) b9=0xa0 38ms (16.1 FPS)
     35.364s   FRAME  #178  1920×462 344,752B/333,853B 85ch buf=0(!=2) b9=0xa2 38ms (16.2 FPS)
     35.428s   FRAME  #179  1920×462 344,752B/334,619B 85ch buf=0 b9=0xa3 38ms (15.6 FPS)
     35.490s   FRAME  #180  1920×462 238,672B/334,817B 59ch buf=0(!=1) b9=0xa4 38ms (16.1 FPS)
     35.552s   FRAME  #181  1920×462 344,752B/334,473B 85ch buf=0(!=2) b9=0xa3 38ms (16.1 FPS)
     35.614s   FRAME  #182  1920×462 212,160B/335,321B 52ch buf=0 b9=0xa5 38ms (16.1 FPS)
     35.677s   FRAME  #183  1920×462 346,800B/335,363B 85ch buf=0(!=1) b9=0xa5 38ms (15.9 FPS)
     35.739s   FRAME  #184  1920×462 206,032B/334,696B 51ch buf=0(!=2) b9=0xa3 38ms (16.1 FPS)
     35.801s   FRAME  #185  1920×462 344,752B/335,218B 85ch buf=0 b9=0xa4 38ms (16.1 FPS)
     35.865s   FRAME  #186  1920×462 344,752B/334,428B 85ch buf=0(!=1) b9=0xa3 38ms (15.6 FPS)
     35.927s   FRAME  #187  1920×462 344,752B/334,786B 85ch buf=0(!=2) b9=0xa3 38ms (16.1 FPS)
     35.989s   FRAME  #188  1920×462 342,720B/331,964B 84ch buf=0 b9=0x9e 38ms (16.2 FPS)
     36.051s   FRAME  #189  1920×462 342,720B/331,880B 84ch buf=0(!=1) b9=0x9e 38ms (16.1 FPS)
     36.114s   FRAME  #190  1920×462 342,720B/332,472B 84ch buf=0(!=2) b9=0x9f 38ms (15.9 FPS)
     36.176s   FRAME  #191  1920×462 342,720B/331,730B 84ch buf=0 b9=0x9d 38ms (16.1 FPS)
     36.240s   FRAME  #192  1920×462 342,720B/331,978B 84ch buf=0(!=1) b9=0x9e 38ms (15.6 FPS)
     36.302s   FRAME  #193  1920×462 342,720B/331,727B 84ch buf=0(!=2) b9=0x9d 38ms (16.1 FPS)
     36.364s   FRAME  #194  1920×462 330,480B/332,240B 81ch buf=0 b9=0x9e 38ms (16.1 FPS)
     36.426s   FRAME  #195  1920×462 340,672B/331,085B 84ch buf=0(!=1) b9=0x9c 38ms (16.1 FPS)
     36.488s   FRAME  #196  1920×462 297,840B/332,191B 73ch buf=0(!=2) b9=0x9e 38ms (16.2 FPS)
     36.552s   FRAME  #197  1920×462 342,720B/332,007B 84ch buf=0 b9=0x9e 38ms (15.6 FPS)
     36.614s   FRAME  #198  1920×462 342,720B/332,304B 84ch buf=0(!=1) b9=0x9e 38ms (16.1 FPS)
     36.676s   FRAME  #199  1920×462 342,720B/331,782B 84ch buf=0(!=2) b9=0x9d 38ms (16.1 FPS)
     36.738s   FRAME  #200  1920×462 342,720B/332,520B 84ch buf=0 b9=0x9f 37ms (16.2 FPS)
     36.802s   FRAME  #201  1920×462 342,720B/332,392B 84ch buf=0(!=1) b9=0x9f 37ms (15.6 FPS)
     36.864s   FRAME  #202  1920×462 342,720B/332,989B 84ch buf=0(!=2) b9=0xa0 38ms (16.1 FPS)
     36.926s   FRAME  #203  1920×462 342,720B/332,927B 84ch buf=0 b9=0xa0 38ms (16.1 FPS)
